Hate Speech,Target,Category,Counterspeech
I do not understand how a Muslim can be a good parent.,MUSLIMS,Denouncing,I am not sure I understand what you are saying.
Gays are perverts exploiting children.,LGBT+,Question,Do you have any evidence that homosexuality is related to child exploitation? Do you think it is ok to say that without reliable sources?
Left-wing feminists use rape as a weapon to silence men. They are afraid to speak out about our standard culture.,WOMEN,Denouncing,"It makes me sad to read statements like this. These are heinous crimes that often go unreported because women live in fear. Not them, you are indeed the weapon that silences women."
I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,POC,Facts,"Racism is a real issue, we should stop people being racist towards others because of their skin colour."
Homosexuality is a disease!,LGBT+,Denouncing,"Homosexuality is a sexual orientation, predjudice is sickness which afflicts society."
Gay men being shot is funny.,LGBT+,Question,I don't see the humour in the death of innocent people. Maybe you can explain that to me?
Migrants rape our women 10 times more than US citizens.,MIGRANTS,Denouncing,"It's simply impossible for the metrics you are claiming to be true, stop spreading misinformation."
Black people are an abomination. They don't belong here.,POC,Denouncing,"It makes no sense to be racist, whichever skin colour you want to single out."
"Jews control the world's news media, Hollywood, the highest offices of education and most important of all, the highest courts of law.",JEWS,Positive,Addressing antisemitism through education is both an immediate security imperative and a long-term educational investment to promote human rights and global citizenship.
How can we be sure that Muslim terrorists aren't already around us ready to strike?,MUSLIMS,Humor,"Yeah, we have a lot of problems in life, man. Let me live in denial in peace."
Nonbinary folks shouldn't exist.,LGBT+,Question,"Nonbinary people can partially identify as either male or female, or as neither male nor female. Therefore, it seems the terminology is fitting, and that they exist: why don't you accept that?"
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,JEWS,Denouncing,Your comment does not explain even a shred of the point that you are trying to convey. Please present some factual points from the next time.
"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",POC,Question,Why would you say such a thing? Do you really not believe that black people are capable of human emotion?
A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,WOMEN,Question,Isn't it about time we stop turning a blind eye to the blatant inequalities that exist in our society? Shouldn't we be raising our voices against these blatant inequalities? All men and women are created equal.
"If I knew then what I know now about women, I'd be single.",WOMEN,Facts,In today's society it is quite common to be single without the need to blame women.
Feminism threatens the objective reality of gender. There are men and women only. And women must obey.,WOMEN,Facts,This is not about identity but it is about a complete misunderstanding of the differences between men and women. Feminism is all about equality and removing barriers to get everyone to feel accepted and valued. We need to challenge these toxic gender stereotypes that keep women from standing up for themselves.
We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],WOMEN,Denouncing,You are the problem here. I feel like the feminist movement is falling on deaf ears.
All immigrants from Mexico are lazy beaners.,MIGRANTS,Facts,This is not true. Most of them are actually skilled workers.
Muslims are un-British and do not want to be part of the UK.,MUSLIMS,Positive,"We are here to make the UK work for everyone, and make sure people feel part of the community, not discriminated against. "
